UF;MUNICIPIO;POPULACAO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
RS;CANOAS;338531;176288;116165;0;4661;2513;7794;6330;4;153;481;24028;3325;1029;0;5229;3556;2;60;4;247;26;681
RS;CANUDOS DO VALE;1841;783;418;0;24;3;64;17;0;1;18;205;13;2;0;4;2;0;1;0;8;0;3
RS;CAPAO BONITO DO SUL;1783;540;302;0;46;6;92;13;0;0;2;61;4;6;0;4;4;0;0;0;0;0;0
RS;CAPAO DA CANOA;45744;25111;13728;0;474;42;1545;719;2;24;66;4875;2176;96;2;1097;30;1;29;0;18;7;180
RS;CAPAO DO CIPO;3318;1333;640;0;103;6;158;18;0;0;9;350;4;12;0;16;8;0;1;1;4;0;3
RS;CAPAO DO LEAO;25256;10385;5155;0;513;159;414;178;0;12;15;3093;205;26;0;354;214;0;13;0;24;0;10
RS;CAPELA DE SANTANA;12323;3900;2242;0;205;65;189;89;0;5;19;719;58;17;0;189;81;0;9;0;4;2;7
RS;CAPITAO;2741;1601;856;0;73;2;94;39;0;0;7;434;65;9;0;12;4;0;2;0;2;0;2
RS;CAPIVARI DO SUL;4177;2084;1098;0;148;26;256;49;0;0;14;235;22;6;0;138;44;0;3;0;18;0;27
RS;CARAA;7742;2484;1375;0;100;0;198;59;0;1;4;633;53;20;0;29;1;0;0;0;4;4;3
RS;CARAZINHO;61702;36888;21133;0;1415;513;2832;968;3;8;87;6203;1816;204;1;656;843;2;27;0;9;7;161
RS;CARLOS BARBOSA;26976;16977;10619;0;853;159;1351;575;0;19;52;1916;632;123;0;315;182;0;15;0;41;1;124
RS;CARLOS GOMES;1604;681;434;0;31;4;62;15;0;0;6;117;4;7;0;0;1;0;0;0;0;0;0
RS;CASCA;8993;6539;4037;0;415;203;698;188;1;0;24;569;42;31;0;70;217;1;2;0;3;1;37
RS;CASEIROS;3139;1804;1075;0;158;25;236;44;0;0;8;189;4;16;0;14;33;0;0;0;0;0;2
RS;CATUIPE;9477;5225;2893;0;374;64;531;76;0;1;7;1072;83;31;0;40;45;1;1;0;1;0;5
RS;CAXIAS DO SUL;465304;285181;190054;0;9070;2547;21043;10607;3;311;1441;29084;5272;1769;3;6852;3819;2;172;1;238;34;2859
RS;CENTENARIO;3036;1516;922;0;90;12;191;28;0;0;7;232;7;10;0;2;12;0;1;0;0;0;2
RS;CERRITO;6523;2873;1347;0;213;33;176;55;0;1;12;865;36;13;0;69;34;0;9;1;4;0;5
