UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
AL;PALMEIRA DOS INDIOS;18453;6471;0;599;33;1312;283;0;1;204;7824;1188;64;0;279;142;7;0;0;1;1;44
AL;PAO DE ACUCAR;2147;606;0;71;0;148;16;0;0;25;1068;168;12;0;25;3;0;0;0;0;3;2
AL;PARICONHA;1516;284;0;41;1;187;12;0;0;21;924;32;11;0;2;0;0;0;0;0;1;0
AL;PARIPUEIRA;1244;645;0;52;0;103;32;0;0;5;304;16;13;0;57;7;0;1;0;0;0;9
AL;PASSO DE CAMARAGIBE;1015;424;0;32;3;57;16;0;0;8;404;14;28;0;20;8;0;0;0;0;0;1
AL;PAULO JACINTO;910;242;0;12;0;71;10;0;0;11;525;22;10;0;5;2;0;0;0;0;0;0
AL;PENEDO;13563;4943;0;244;18;760;191;0;0;71;5526;1303;198;0;199;66;2;1;0;0;2;39
AL;PIACABUCU;1491;503;0;28;0;139;35;0;0;12;569;142;13;0;39;6;0;0;0;0;1;4
AL;PILAR;4813;2378;0;161;18;250;170;0;0;52;1271;230;62;0;171;37;0;0;0;2;1;10
AL;PINDOBA;307;76;0;9;0;21;5;0;0;1;188;2;2;0;2;1;0;0;0;0;0;0
AL;PIRANHAS;3736;989;0;69;6;270;33;0;0;77;2070;171;15;0;22;9;0;1;0;0;1;3
AL;POCO DAS TRINCHEIRAS;1903;389;0;57;0;129;23;0;0;50;1168;49;21;0;9;7;0;0;0;0;1;0
AL;PORTO CALVO;3647;1196;0;190;11;185;177;0;0;124;1463;105;64;0;102;21;0;0;0;0;2;7
AL;PORTO DE PEDRAS;712;281;0;10;0;42;8;0;0;9;312;18;9;0;18;2;0;0;0;0;1;2
AL;PORTO REAL DO COLEGIO;1495;470;0;22;1;69;15;0;0;29;787;68;17;0;12;3;0;1;0;0;0;1
AL;QUEBRANGULO;1500;391;0;42;0;116;22;0;0;5;864;39;10;0;6;5;0;0;0;0;0;0
AL;RIO LARGO;10514;5430;0;435;87;567;297;0;1;187;2683;115;191;0;298;189;4;0;0;0;4;26
AL;ROTEIRO;547;229;0;11;1;40;38;0;0;26;171;5;8;0;11;7;0;0;0;0;0;0
AL;SANTA LUZIA DO NORTE;866;434;0;20;8;51;30;0;0;6;213;4;66;0;21;11;0;0;0;0;0;2
AL;SANTANA DO IPANEMA;11719;3080;0;398;4;794;110;0;1;161;6167;702;43;0;186;48;0;0;0;0;7;18
AL;SANTANA DO MUNDAU;1760;316;0;68;6;84;12;0;0;34;1105;86;11;0;19;16;0;0;0;0;0;3
AL;SAO BRAS;354;134;0;3;0;26;6;0;0;4;163;12;4;0;1;0;0;0;0;0;1;0
AL;SAO JOSE DA LAJE;2629;1013;0;100;0;122;48;0;0;74;1044;108;48;0;47;6;0;0;0;0;3;16
AL;SAO JOSE DA TAPERA;3460;1106;0;122;0;267;36;0;0;44;1668;169;19;0;22;3;0;0;0;0;1;3
AL;SAO LUIS DO QUITUNDE;3421;1329;0;200;1;187;62;0;0;24;1177;84;140;0;171;42;1;0;0;0;0;3
AL;SAO MIGUEL DOS CAMPOS;11939;4728;0;459;81;600;212;0;0;153;4067;796;155;0;402;251;0;0;0;0;0;35
AL;SAO MIGUEL DOS MILAGRES;769;276;0;28;0;54;20;0;0;2;316;45;5;0;14;4;0;0;0;0;0;5
AL;SAO SEBASTIAO;5288;1313;0;157;16;246;24;0;0;42;2541;678;114;0;107;47;0;0;0;0;1;2
AL;SATUBA;1420;791;0;64;29;85;34;0;0;16;309;4;24;0;29;31;0;0;0;0;0;4
AL;SENADOR RUI PALMEIRA;1431;277;0;36;0;128;11;0;0;19;885;44;15;0;15;0;0;0;0;0;1;0
AL;TANQUE D'ARCA;819;211;0;15;1;35;34;0;0;21;459;24;7;0;10;2;0;0;0;0;0;0
AL;TAQUARANA;2962;650;0;92;2;183;40;0;0;51;1692;191;27;0;23;7;0;0;0;0;0;4
AL;TEOTONIO VILELA;5873;1755;0;194;38;318;73;2;0;86;2320;579;177;0;221;85;0;0;0;0;0;25
AL;TRAIPU;2319;455;0;96;0;130;13;0;0;17;1481;94;20;0;11;2;0;0;0;0;0;0
AL;UNIAO DOS PALMARES;12327;3646;0;491;21;672;169;0;1;218;6055;579;179;0;224;53;0;0;0;0;2;17
AL;VICOSA;4122;1311;0;131;8;246;67;0;0;14;2069;119;47;0;75;20;2;0;0;0;0;13
AM;ALVARAES;458;10;0;7;0;19;0;0;0;0;309;108;3;0;0;0;0;0;0;0;2;0
AM;AMATURA;236;2;0;2;0;6;2;0;0;0;143;80;1;0;0;0;0;0;0;0;0;0
AM;ANAMA;102;4;0;1;0;4;0;0;1;0;75;14;3;0;0;0;0;0;0;0;0;0
AM;ANORI;367;11;0;5;0;29;3;0;0;0;236;80;3;0;0;0;0;0;0;0;0;0
AM;APUI;2299;172;0;106;6;197;23;0;0;1;1329;425;23;0;3;7;0;0;0;0;3;4
AM;ATALAIA DO NORTE;338;8;0;1;0;22;4;0;0;0;196;106;1;0;0;0;0;0;0;0;0;0
AM;AUTAZES;1471;164;0;29;0;78;19;1;3;4;837;307;18;0;1;0;0;0;0;0;10;0
AM;BARCELOS;751;68;0;10;0;49;8;0;1;1;403;208;0;0;0;0;0;0;0;0;0;3
AM;BARREIRINHA;461;4;0;5;0;16;1;0;0;0;299;124;6;0;0;4;0;0;0;0;2;0
AM;BENJAMIN CONSTANT;1186;42;0;11;0;29;14;0;0;5;623;454;3;0;0;0;0;0;0;0;4;1
AM;BERURI;306;11;0;0;0;26;1;0;0;0;215;52;0;0;0;0;0;0;0;0;1;0
AM;BOA VISTA DO RAMOS;274;5;0;2;0;11;1;0;0;0;208;45;1;0;0;0;0;0;0;0;1;0
AM;BOCA DO ACRE;2102;397;0;50;13;96;9;1;0;3;1144;352;6;0;5;20;0;0;0;0;6;0
AM;BORBA;746;53;0;16;0;43;8;0;1;0;446;172;5;0;0;0;0;0;0;0;1;1
AM;CAAPIRANGA;186;12;0;8;0;23;1;0;0;1;92;39;8;0;0;0;0;0;0;0;2;0
AM;CANUTAMA;155;6;0;4;0;14;2;0;0;0;95;31;1;0;0;0;0;0;0;0;2;0
AM;CARAUARI;1811;45;0;39;0;72;14;0;0;1;1212;424;1;0;0;0;0;0;0;0;2;1
AM;CAREIRO;1479;266;0;59;1;169;90;0;2;38;680;95;58;0;4;8;0;0;0;0;7;2
AM;CAREIRO DA VARZEA;319;80;0;15;0;26;35;0;2;24;70;20;40;0;0;0;0;0;0;1;5;1
AM;COARI;8834;445;0;125;2;315;53;0;5;5;5614;2222;12;0;1;0;0;0;0;0;27;8
AM;CODAJAS;479;21;0;7;0;29;6;0;1;0;336;74;4;0;0;0;0;0;0;0;0;1
AM;EIRUNEPE;1289;79;0;29;0;75;10;0;0;1;698;392;5;0;0;0;0;0;0;0;0;0
AM;ENVIRA;329;6;0;15;1;27;6;0;0;0;210;60;4;0;0;0;0;0;0;0;0;0
AM;FONTE BOA;1134;13;0;11;0;33;5;0;1;0;864;205;0;0;1;0;0;0;0;0;1;0
