UF;MUNICIPIO;TOTAL;AUTOMOVEL;BONDE;CAMINHAO;CAMINHAO TRATOR;CAMINHONETE;CAMIONETA;CHASSI PLATAF;CICLOMOTOR;MICRO-ONIBUS;MOTOCICLETA;MOTONETA;ONIBUS;QUADRICICLO;REBOQUE;SEMI-REBOQUE;SIDE-CAR;OUTROS;TRATOR ESTEI;TRATOR RODAS;TRICICLO;UTILITARIO
PE;CAMARAGIBE;37456;20283;0;758;105;1978;1593;2;23;267;11331;293;151;0;436;112;0;1;0;0;13;110
PE;CAMOCIM DE SAO FELIX;2902;1306;0;137;1;232;45;0;0;53;951;128;7;0;26;4;0;0;0;0;1;11
PE;CAMUTANGA;1840;562;0;92;1;73;16;0;0;2;870;80;16;0;84;41;0;0;0;0;0;3
PE;CANHOTINHO;4587;1603;0;215;3;334;41;0;1;78;2023;196;14;0;31;38;0;0;0;0;1;9
PE;CAPOEIRAS;3223;1080;0;244;4;343;27;0;0;40;1383;59;18;0;5;18;0;0;0;0;0;2
PE;CARNAIBA;4213;980;0;173;12;493;38;0;0;51;2302;71;26;0;45;16;0;0;0;0;1;5
PE;CARNAUBEIRA DA PENHA;1240;215;0;51;0;115;14;0;0;9;813;16;4;0;1;1;0;1;0;0;0;0
PE;CARPINA;25509;10025;0;907;143;1476;965;3;9;127;9845;1263;150;0;307;190;0;0;0;0;4;95
PE;CARUARU;143560;59785;0;4469;584;8593;3247;8;77;815;49292;12298;602;1;2045;1035;3;3;0;9;39;655
PE;CASINHAS;2677;537;0;61;0;103;15;0;0;140;1727;70;20;0;2;1;0;0;0;0;0;1
PE;CATENDE;6558;2414;0;199;31;269;95;0;3;74;2773;468;68;0;118;35;0;0;0;0;1;10
PE;CEDRO;2259;618;0;45;0;156;8;0;0;7;1310;84;12;0;12;1;0;0;0;0;2;4
PE;CHA DE ALEGRIA;1653;651;0;57;3;85;45;0;0;19;706;39;35;0;11;2;0;0;0;0;0;0
PE;CHA GRANDE;4854;1730;0;273;20;449;75;0;0;70;1947;204;27;0;25;24;0;0;0;0;0;10
PE;CONDADO;5283;1848;0;128;49;198;148;1;0;10;2295;403;66;0;52;76;0;0;0;0;2;7
PE;CORRENTES;2407;554;0;92;3;142;11;0;0;29;1424;116;14;0;8;10;0;1;0;0;1;2
PE;CORTES;1674;662;0;167;2;106;20;0;0;54;531;18;35;0;66;10;0;0;0;0;1;2
PE;CUMARU;3229;840;0;143;7;223;39;0;0;92;1755;81;19;0;20;7;0;0;0;0;0;3
PE;CUPIRA;7310;2494;0;274;15;534;173;0;3;85;2800;687;18;0;186;20;0;0;0;0;0;21
PE;CUSTODIA;9043;3005;0;354;14;796;85;0;2;72;4206;337;35;0;73;28;0;0;0;0;14;22
PE;DORMENTES;4301;703;0;273;10;291;23;0;0;12;2744;169;29;0;24;19;0;0;0;0;0;4
PE;ESCADA;14790;5411;0;372;91;546;189;2;3;98;6720;871;150;0;182;104;0;0;0;1;7;43
PE;EXU;7802;2291;0;308;15;772;88;0;1;12;3980;208;31;0;58;15;0;3;0;0;1;19
PE;FEIRA NOVA;4698;1205;0;244;62;251;200;0;0;40;2479;112;14;0;35;51;0;0;0;0;1;4
PE;FERNANDO DE NORONHA;1116;493;0;17;2;79;26;0;4;24;293;107;7;0;36;2;1;0;0;0;3;22
PE;FERREIROS;2728;796;0;87;13;134;27;0;1;1;1443;139;51;0;23;11;0;0;0;1;0;1
PE;FLORES;4183;1182;0;112;14;355;46;0;0;40;2273;92;11;0;28;28;0;0;0;0;0;2
PE;FLORESTA;7453;1923;0;505;19;636;70;0;1;16;3755;366;21;0;51;31;42;0;0;0;6;11
PE;FREI MIGUELINHO;3493;1110;0;183;43;311;75;0;0;133;1423;120;19;0;24;49;0;0;0;0;0;3
PE;GAMELEIRA;2515;1141;0;88;0;98;59;0;0;15;925;44;59;0;76;1;0;0;0;0;1;8
PE;GARANHUNS;44859;21559;0;1715;307;3201;840;0;8;310;13297;2109;148;0;403;703;1;1;0;0;13;244
PE;GLORIA DO GOITA;5139;1468;0;180;18;256;96;1;1;60;2771;177;41;0;25;42;0;0;0;0;0;3
PE;GOIANA;24144;9042;0;771;74;1141;683;0;18;191;9819;1626;142;0;376;166;0;0;0;2;4;89
PE;GRANITO;1362;247;0;32;0;104;8;0;0;1;929;18;14;0;6;0;0;0;0;0;1;2
PE;GRAVATA;26568;8944;0;950;101;1716;395;0;6;120;11210;2527;87;0;286;140;1;2;0;1;12;70
PE;IATI;2304;617;0;73;1;214;22;0;0;34;1236;48;27;0;6;24;0;0;0;0;0;2
PE;IBIMIRIM;5199;1543;0;231;0;614;78;0;1;47;2495;115;17;0;41;7;0;0;0;0;4;6
